issue_id,release,impact_status,feature_area,highlight_tags,action_required,impact_notes,applied_rules,summary,components,subcomponents,labels,fix_versions
JDK-8355121,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source mixed AWT tests - Set3,client-libs,java.awt,,21.0.8
JDK-8355149,21.0.8,needs_review,classlib,,要確認,,,Test javax/swing/JTabbedPane/8007563/Test8007563.java fails,client-libs,javax.swing,,21.0.8
JDK-8355151,21.0.8,needs_review,classlib,,要確認,,,Tests fails with java.lang.IllegalAccessException: class com.sun.javatest.regtest.agent.MainWrapper$MainTask cannot access,client-libs,2d,,21.0.8
JDK-8355169,21.0.8,needs_review,classlib,,要確認,,,java/awt/Desktop/MailTest.java fails in platforms where Action.MAIL is not supported,client-libs,java.awt,,21.0.8
JDK-8355212,21.0.8,excluded,runtime_core,,対応不要,keywords=\bshenandoah\b,gc_related,Shenandoah/C2: TestVerifyLoopOptimizations test failure,hotspot,compiler,,21.0.8
JDK-8355549,21.0.8,needs_review,security,,要確認,,,Uninitialised memory in deleteGSSCB of GSSLibStub.c:179,security-libs,org.ietf.jgss,,21.0.8
JDK-8355550,21.0.8,needs_review,classlib,,要確認,,,SequenceInputStream.transferTo should not return as soon as Long.MAX_VALUE bytes have been transferred,core-libs,java.io,,21.0.8
JDK-8355552,21.0.8,needs_review,runtime_core,,要確認,,,java -D-D crashes,hotspot,runtime,,21.0.8
JDK-8355709,21.0.8,needs_review,interop,,要確認,,,Test java/net/httpclient/CancelRequestTest.java failed: WARNING: tracker for HttpClientImpl(42) has outstanding operations,core-libs,java.net,,21.0.8
JDK-8355710,21.0.8,needs_review,classlib,,要確認,,,java/awt/dnd/RejectDragDropActionTest.java timed out,client-libs,java.awt,,21.0.8
JDK-8355712,21.0.8,needs_review,interop,,要確認,,,java/net/vthread/BlockingSocketOps.java timeout/hang intermittently on Windows,core-libs,java.net,,21.0.8
JDK-8355714,21.0.8,needs_review,runtime_core,,要確認,,,Update nsk.share.jpda.Jdb to don't use finalization,core-svc,debugger,,21.0.8
